horizon,condition,sector,n,accuracy,f1
1,E0,Consumer Staples,2515,0.5483101391650099,0.27272727272727276
1,E0,Energy,2514,0.5704057279236276,0.39999999999999997
1,E0,Financials,1676,0.5638424821002387,0.3136150234741784
1,E0,Health Care,1676,0.5220763723150358,0.20139581256231306
1,E0,Information Technology,2514,0.5783611774065235,0.45752302968270214
1,E3,Consumer Staples,2515,0.5455268389662028,0.3427257044278321
1,E3,Energy,2514,0.5481304693715194,0.4574976122254059
1,E3,Financials,1676,0.5704057279236276,0.4545454545454545
1,E3,Health Care,1676,0.5232696897374701,0.28340807174887894
1,E3,Information Technology,2514,0.5751789976133651,0.5291005291005291
1,E4,Consumer Staples,2515,0.5622266401590458,0.48956884561891517
1,E4,Energy,2514,0.5477326968973747,0.5105467068445974
1,E4,Financials,1676,0.5853221957040573,0.5351170568561873
1,E4,Health Care,1676,0.5465393794749404,0.46099290780141844
1,E4,Information Technology,2514,0.5759745425616547,0.550210970464135
1,E5,Consumer Staples,2515,0.5578528827037773,0.4505928853754941
1,E5,Energy,2514,0.5588703261734288,0.47860836859426414
1,E5,Financials,1676,0.5704057279236276,0.49008498583569404
1,E5,Health Care,1676,0.5405727923627685,0.44040697674418605
1,E5,Information Technology,2514,0.5672235481304694,0.4925373134328358
1,E6,Consumer Staples,2515,0.541948310139165,0.30434782608695654
1,E6,Energy,2514,0.5536992840095465,0.4344758064516129
1,E6,Financials,1676,0.5620525059665871,0.41467304625199364
1,E6,Health Care,1676,0.5298329355608592,0.2580037664783428
1,E6,Information Technology,2514,0.5636435958631663,0.48376470588235293
1,E7,Consumer Staples,2515,0.5495029821073558,0.4360378297660527
1,E7,Energy,2514,0.54733492442323,0.4878487848784878
1,E7,Financials,1676,0.5513126491646778,0.5065616797900263
1,E7,Health Care,1676,0.5399761336515513,0.44731182795698926
1,E7,Information Technology,2514,0.5640413683373111,0.5115864527629234
5,E0,Consumer Staples,2515,0.558648111332008,0.33612440191387566
5,E0,Energy,2514,0.5715990453460621,0.35547576301615796
5,E0,Financials,1676,0.5352028639618138,0.32083696599825634
5,E0,Health Care,1676,0.5095465393794749,0.27768014059753954
5,E0,Information Technology,2514,0.5242641209228321,0.4014014014014014
5,E3,Consumer Staples,2515,0.5554671968190855,0.4541015625
5,E3,Energy,2514,0.5688146380270486,0.4748062015503876
5,E3,Financials,1676,0.5399761336515513,0.5117162761241292
5,E3,Health Care,1676,0.49403341288782815,0.3364632237871675
5,E3,Information Technology,2514,0.5867143993635641,0.5898144492696408
5,E4,Consumer Staples,2515,0.6282306163021869,0.5409916543937163
5,E4,Energy,2514,0.6081941129673827,0.49461262185736277
5,E4,Financials,1676,0.5930787589498807,0.5190409026798307
5,E4,Health Care,1676,0.5799522673031027,0.46177370030581033
5,E4,Information Technology,2514,0.637629276054097,0.5819183111519045
5,E5,Consumer Staples,2515,0.6361829025844931,0.5161290322580645
5,E5,Energy,2514,0.6229116945107399,0.500526870389884
5,E5,Financials,1676,0.5871121718377088,0.5071225071225071
5,E5,Health Care,1676,0.5918854415274463,0.45016077170418006
5,E5,Information Technology,2514,0.6507557677008751,0.5923862581244197
5,E6,Consumer Staples,2515,0.579324055666004,0.393348623853211
5,E6,Energy,2514,0.5954653937947494,0.4145077720207254
5,E6,Financials,1676,0.5871121718377088,0.46522411128284386
5,E6,Health Care,1676,0.5238663484486874,0.2810810810810811
5,E6,Information Technology,2514,0.5883054892601431,0.560135996600085
5,E7,Consumer Staples,2515,0.6341948310139165,0.5127118644067796
5,E7,Energy,2514,0.5954653937947494,0.5026894865525672
5,E7,Financials,1676,0.5704057279236276,0.5193591455273698
5,E7,Health Care,1676,0.5853221957040573,0.46497305619707463
5,E7,Information Technology,2514,0.6312649164677804,0.5925274725274725
20,E0,Consumer Staples,2515,0.5900596421471173,0.41320432555492315
20,E0,Energy,2514,0.6225139220365951,0.46535211267605636
20,E0,Financials,1676,0.6032219570405728,0.5378735232800557
20,E0,Health Care,1676,0.4821002386634845,0.30225080385852093
20,E0,Information Technology,2514,0.6197295147175815,0.5904027420736933
20,E3,Consumer Staples,2515,0.6011928429423459,0.42455536431440044
20,E3,Energy,2514,0.5994431185361973,0.4506273867975995
20,E3,Financials,1676,0.5704057279236276,0.5095367847411444
20,E3,Health Care,1676,0.47255369928400953,0.2608695652173913
20,E3,Information Technology,2514,0.6241050119331742,0.5956354300385109
20,E4,Consumer Staples,2515,0.5972166998011929,0.2891228070175439
20,E4,Energy,2514,0.6443914081145584,0.4384422110552764
20,E4,Financials,1676,0.5978520286396182,0.4003558718861211
20,E4,Health Care,1676,0.49522673031026254,0.16895874263261298
20,E4,Information Technology,2514,0.6288782816229117,0.5609411764705883
20,E5,Consumer Staples,2515,0.7200795228628231,0.5748792270531402
20,E5,Energy,2514,0.6988862370723946,0.5507418397626113
20,E5,Financials,1676,0.6408114558472554,0.5296875
20,E5,Health Care,1676,0.5847255369928401,0.42000000000000004
20,E5,Information Technology,2514,0.6678599840891011,0.5831253120319522
20,E6,Consumer Staples,2515,0.646520874751491,0.36089144500359455
20,E6,Energy,2514,0.6778042959427207,0.406158357771261
20,E6,Financials,1676,0.6276849642004774,0.43884892086330934
20,E6,Health Care,1676,0.5471360381861575,0.2199383350462487
20,E6,Information Technology,2514,0.6531424025457438,0.5909943714821764
20,E7,Consumer Staples,2515,0.7300198807157058,0.5694356372859861
20,E7,Energy,2514,0.6945107398568019,0.5641316685584563
20,E7,Financials,1676,0.6205250596658711,0.5107692307692308
20,E7,Health Care,1676,0.6109785202863962,0.4548494983277592
20,E7,Information Technology,2514,0.6770087509944311,0.5890688259109311
