target,condition,horizon,seed,k,n,accuracy,precision,recall,f1,fold_acc_mean,fold_acc_std
direction,E0,5,42,5.0,10895,0.526480036714089,0.4659386375455018,0.17820206841686556,0.2578046324269889,0.5264800367140889,0.02739046978294163
direction,E3,5,42,5.0,10895,0.5047269389628269,0.4605826906598115,0.42760540970564836,0.44348184818481845,0.5047269389628269,0.015706809068844235
direction,E7,5,42,5.0,10895,0.504176227627352,0.4460473167916907,0.30747812251392204,0.364021662349894,0.504176227627352,0.0265774885547384
direction,E0,20,42,5.0,10895,0.5317117944011014,0.4688026981450253,0.1105807478122514,0.17895075635661412,0.5317117944011014,0.02919953232594443
direction,E3,20,42,5.0,10895,0.48003671408903165,0.43724137931034485,0.44132856006364357,0.43927546273384144,0.4800367140890317,0.01654427045705348
direction,E7,20,42,5.0,10895,0.4971087654887563,0.4405797101449275,0.3325377883850438,0.3790094072311005,0.4971087654887564,0.03099487895582478
volatility,E0,1,42,5.0,10895,0.5586966498393758,0.5701637892872953,0.2513170731707317,0.3488624052004334,0.5586966498393758,0.01467013867983134
volatility,E3,1,42,5.0,10895,0.5533731069297843,0.5379654060392847,0.35804878048780486,0.42994376757263353,0.5533731069297843,0.023313085173163266
volatility,E4,1,42,5.0,10895,0.5631941257457549,0.5395248380129589,0.48741463414634145,0.5121476166068683,0.563194125745755,0.014379554678341374
volatility,E5,1,42,5.0,10895,0.5595227168425884,0.5411824153612936,0.4179512195121951,0.4716503357921392,0.5595227168425884,0.017199384989711203
volatility,E6,1,42,5.0,10895,0.5508949059201469,0.5392422192151556,0.31102439024390244,0.3945056304912758,0.5508949059201468,0.017182723188790494
volatility,E7,1,42,5.0,10895,0.5511702615878844,0.5275240103068635,0.43941463414634147,0.47945497125825,0.5511702615878843,0.030248766695240972
volatility,E0,5,42,5.0,10895,0.5425424506654428,0.45426409903713894,0.27999152183128445,0.34644636768948334,0.5425424506654429,0.11237690282004718
volatility,E3,5,1,5.0,10895,0.5987150068838917,0.5711934156378601,0.29419245442984315,0.38836038052602123,0.5987150068838918,0.0343546582918097
volatility,E3,5,2,5.0,10895,0.6199173932996788,0.5717840258770839,0.4870707927087749,0.5260386860478424,0.6199173932996788,0.02737508688975886
volatility,E3,5,3,5.0,10895,0.6253327214318495,0.5823834196891192,0.4764730818143281,0.524131499183959,0.6253327214318495,0.03067412153417299
volatility,E3,5,42,5.0,10895,0.5539238182652593,0.4851588628762542,0.49194573972022043,0.4885287307935171,0.5539238182652593,0.08126232555569866
volatility,E4,5,42,5.0,10895,0.6129417163836622,0.5600287562904386,0.4953370072064434,0.5257001462152738,0.6129417163836621,0.03617502369184779
volatility,E5,5,42,5.0,10895,0.6221202386415787,0.5775884327394785,0.4741415854175498,0.52077755790944,0.6221202386415788,0.02962630214461324
volatility,E6,5,42,5.0,10895,0.5777879761358421,0.5167613636363636,0.38554472233997455,0.4416120417577082,0.5777879761358421,0.04623096928669308
volatility,E7,5,1,5.0,10895,0.5984396512161542,0.5372583097979579,0.5241627808393386,0.5306297607552838,0.5984396512161542,0.04301878501912631
volatility,E7,5,2,5.0,10895,0.5861404313905462,0.527536231884058,0.42433234421364985,0.47033948079407967,0.5861404313905461,0.035302605989227916
volatility,E7,5,3,5.0,10895,0.5330885727397889,0.461001902346227,0.46227214921576937,0.46163615197375385,0.5330885727397889,0.0803278552637154
volatility,E7,5,42,1.0,10895,0.609453877925654,0.5545604525100165,0.4987282746926664,0.525164602164937,0.609453877925654,0.043206376341032256
volatility,E7,5,42,10.0,10895,0.6075263882514915,0.5516355140186916,0.5004239084357779,0.5247832851744832,0.6075263882514916,0.045466956726367684
volatility,E7,5,42,20.0,10895,0.6081688848095457,0.552514619883041,0.5006358626536668,0.5252974535750028,0.6081688848095457,0.044907649587280205
volatility,E7,5,42,3.0,10895,0.6092703074804956,0.5538425601494977,0.5025434506146672,0.5269474386042894,0.6092703074804957,0.04336946464870806
volatility,E7,5,42,5.0,10895,0.607251032583754,0.5512013062747843,0.5008478168715558,0.5248195446973904,0.6072510325837541,0.045835117726718846
volatility,E0,20,42,5.0,10895,0.5898118402937127,0.47058823529411764,0.48410061699098245,0.4772488010293602,0.5898118402937127,0.11765898957894468
volatility,E3,20,1,5.0,10895,0.6276273519963286,0.5240134597736311,0.40650213573801613,0.45783776560203127,0.6276273519963286,0.08165872873946536
volatility,E3,20,2,5.0,10895,0.6773749426342359,0.5942302507414398,0.5230185097294732,0.5563549160671463,0.6773749426342359,0.05479047345186348
volatility,E3,20,3,5.0,10895,0.6667278568150528,0.5684111710865994,0.574750830564784,0.5715634218289086,0.6667278568150528,0.06509986211711709
volatility,E3,20,42,5.0,10895,0.5815511702615879,0.46046298418519366,0.47674418604651164,0.4684621662585986,0.5815511702615879,0.12768357085237694
volatility,E4,20,42,5.0,10895,0.5998164295548417,0.4762214983713355,0.3469387755102041,0.40142778693025805,0.5998164295548417,0.10040019617364809
volatility,E5,20,42,5.0,10895,0.6701239100504819,0.5858725761772853,0.5018984337921215,0.5406441717791411,0.6701239100504819,0.050778385730632064
volatility,E6,20,42,5.0,10895,0.6370812299219826,0.5471356055112401,0.3580920740389179,0.4328743545611016,0.6370812299219826,0.09599453064121564
volatility,E7,20,1,5.0,10895,0.6475447452960074,0.5424613987284287,0.5669197911722829,0.5544209793455558,0.6475447452960074,0.07235447201439157
volatility,E7,20,2,5.0,10895,0.5513538320330427,0.4293501048218029,0.48599905078310396,0.45592163846838824,0.5513538320330428,0.1301039261148651
volatility,E7,20,3,5.0,10895,0.567140890316659,0.4405776515151515,0.4416231608922639,0.4410997866793079,0.567140890316659,0.13609473802624283
volatility,E7,20,42,1.0,10895,0.6680128499311611,0.5858992805755395,0.4831514000949217,0.5295877227207699,0.6680128499311611,0.08321817437282811
volatility,E7,20,42,10.0,10895,0.6731528223955943,0.5906692585392946,0.5047460844803038,0.5443378119001919,0.6731528223955943,0.08695524852736827
volatility,E7,20,42,20.0,10895,0.6744378155117026,0.592974630610538,0.5047460844803038,0.5453147032431739,0.6744378155117026,0.08617777064133024
