horizon,stratum,n,acc_E3,acc_E7,delta,method,pvalue
1,overall,10778,0.5526999443310447,0.5501948413434774,-0.0025051029875673425,chi2-cc,0.654481790421443
1,high_divergence,2695,0.5328385899814472,0.5313543599257885,-0.0014842300556586752,chi2-cc,0.9244194121866707
1,rest_divergence,8083,0.559322033898305,0.556476555734257,-0.00284547816404801,chi2-cc,0.6516793232815835
1,low_coverage,5198,0.5559830704116968,0.5529049634474797,-0.0030781069642170644,chi2-cc,0.7092167259237399
1,med_coverage,3012,0.547476759628154,0.5531208499335989,0.005644090305444882,chi2-cc,0.6098267709579738
1,high_coverage,2568,0.5521806853582555,0.5412772585669782,-0.010903426791277315,chi2-cc,0.3317998364977673
5,overall,10778,0.552143254778252,0.60586379662275,0.05372054184449804,chi2-cc,9.340942773894155e-21
5,high_divergence,2695,0.5239332096474953,0.5918367346938775,0.0679035250463822,chi2-cc,6.00044900069134e-09
5,rest_divergence,8083,0.5615489298527774,0.6105406408511691,0.048991710998391724,chi2-cc,1.3452752398246525e-13
5,low_coverage,5198,0.5486725663716814,0.6163909195844556,0.0677183532127742,chi2-cc,8.501820842763945e-15
5,med_coverage,3012,0.5401726427622842,0.5866533864541833,0.04648074369189914,chi2-cc,8.081211867391618e-06
5,high_coverage,2568,0.573208722741433,0.6070872274143302,0.033878504672897214,chi2-cc,0.002528845010833524
20,overall,10778,0.5785860085359065,0.6724809797736129,0.0938949712377064,chi2-cc,2.7962957699218568e-58
20,high_divergence,2695,0.5591836734693878,0.6526901669758812,0.09350649350649343,chi2-cc,1.3119448873337094e-15
20,rest_divergence,8083,0.5850550538166522,0.6790795496721515,0.09402449585549921,chi2-cc,3.115437920806831e-44
20,low_coverage,5198,0.5725278953443632,0.6802616390919585,0.10773374374759526,chi2-cc,2.381076091751261e-34
20,med_coverage,3012,0.5557768924302788,0.6689907038512616,0.11321381142098275,chi2-cc,1.0965217475422921e-26
20,high_coverage,2568,0.617601246105919,0.6608255451713395,0.04322429906542047,chi2-cc,0.00015149785074092508
